,Instruction,Number of memory acess,Number of micro instruction
469,"CMP -(R1),@(R2)+",4,6
470,"CMP -(R1),@-(R2)",4,6
471,"CMP -(R1),@X(R2)",5,7
472,"CMP X(R1),R2",3,5
473,"CMP X(R1),(R2)+",4,6
474,"CMP X(R1),-(R2)",4,6
475,"CMP X(R1),X(R2)",5,7
476,"CMP X(R1),@R2",4,6
477,"CMP X(R1),@(R2)+",5,7
478,"CMP X(R1),@-(R2)",5,7
479,"CMP X(R1),@X(R2)",6,8
480,"CMP @R1,R2",2,4
481,"CMP @R1,(R2)+",3,5
482,"CMP @R1,-(R2)",3,5
483,"CMP @R1,X(R2)",4,6
484,"CMP @R1,@R2",3,5
485,"CMP @R1,@(R2)+",4,6
486,"CMP @R1,@-(R2)",4,6
487,"CMP @R1,@X(R2)",5,7
488,"CMP @(R1)+,R2",3,5
489,"CMP @(R1)+,(R2)+",4,6
490,"CMP @(R1)+,-(R2)",4,6
491,"CMP @(R1)+,X(R2)",5,7
492,"CMP @(R1)+,@R2",4,6
493,"CMP @(R1)+,@(R2)+",5,7
494,"CMP @(R1)+,@-(R2)",5,7
495,"CMP @(R1)+,@X(R2)",6,8
496,"CMP @-(R1),R2",3,5
497,"CMP @-(R1),(R2)+",4,6
498,"CMP @-(R1),-(R2)",4,6
499,"CMP @-(R1),X(R2)",5,7
500,"CMP @-(R1),@R2",4,6
501,"CMP @-(R1),@(R2)+",5,7
502,"CMP @-(R1),@-(R2)",5,7
503,"CMP @-(R1),@X(R2)",6,8
504,"CMP @X(R1),R2",4,6
505,"CMP @X(R1),(R2)+",5,7
506,"CMP @X(R1),-(R2)",5,7
507,"CMP @X(R1),X(R2)",6,8
508,"CMP @X(R1),@R2",5,7
509,"CMP @X(R1),@(R2)+",6,8
510,"CMP @X(R1),@-(R2)",6,8
511,"CMP @X(R1),@X(R2)",7,9
512,INC R1,1,3
513,INC (R1)+,3,5
514,INC -(R1),3,5
515,INC X(R1),4,6
516,INC @R1,3,5
517,INC @(R1)+,4,6
518,INC @-(R1),4,6
519,INC @X(R1),5,7
520,DEC R1,1,3
521,DEC (R1)+,3,5
522,DEC -(R1),3,5
523,DEC X(R1),4,6
524,DEC @R1,3,5
525,DEC @(R1)+,4,6
526,DEC @-(R1),4,6
527,DEC @X(R1),5,7
528,INV R1,1,3
529,INV (R1)+,3,5
530,INV -(R1),3,5
531,INV X(R1),4,6
532,INV @R1,3,5
533,INV @(R1)+,4,6
534,INV @-(R1),4,6
535,INV @X(R1),5,7
536,LSR R1,1,3
537,LSR (R1)+,3,5
538,LSR -(R1),3,5
539,LSR X(R1),4,6
540,LSR @R1,3,5
541,LSR @(R1)+,4,6
542,LSR @-(R1),4,6
543,LSR @X(R1),5,7
544,ROR R1,1,3
545,ROR (R1)+,3,5
546,ROR -(R1),3,5
547,ROR X(R1),4,6
548,ROR @R1,3,5
549,ROR @(R1)+,4,6
550,ROR @-(R1),4,6
551,ROR @X(R1),5,7
552,RRC R1,1,3
553,RRC (R1)+,3,5
554,RRC -(R1),3,5
555,RRC X(R1),4,6
556,RRC @R1,3,5
557,RRC @(R1)+,4,6
558,RRC @-(R1),4,6
559,RRC @X(R1),5,7
560,ASR R1,1,3
561,ASR (R1)+,3,5
562,ASR -(R1),3,5
563,ASR X(R1),4,6
564,ASR @R1,3,5
565,ASR @(R1)+,4,6
