,Instruction,Number of memory acess,Number of micro instruction,,,,
371,"OR @-(R1),-(R2)",5,7,,,,
372,"OR @-(R1),X(R2)",6,8,,,,
373,"OR @-(R1),@R2",5,7,,,,
374,"OR @-(R1),@(R2)+",6,8,,,,
375,"OR @-(R1),@-(R2)",6,8,,,,
376,"OR @-(R1),@X(R2)",7,9,,,,
377,"OR @X(R1),R2",4,6,,,,
378,"OR @X(R1),(R2)+",6,8,,,,
379,"OR @X(R1),-(R2)",6,8,,,,
380,"OR @X(R1),X(R2)",7,9,,,,
381,"OR @X(R1),@R2",6,8,,,,
382,"OR @X(R1),@(R2)+",7,9,,,,
383,"OR @X(R1),@-(R2)",7,9,,,,
384,"OR @X(R1),@X(R2)",8,10,,,,
385,"XNOR R1,R2",1,3,,,,
386,"XNOR R1,(R2)+",3,5,,,,
387,"XNOR R1,-(R2)",3,5,,,,
388,"XNOR R1,X(R2)",4,6,,,,
389,"XNOR R1,@R2",3,5,,,,
390,"XNOR R1,@(R2)+",4,6,,,,
391,"XNOR R1,@-(R2)",4,6,,,,
392,"XNOR R1,@X(R2)",5,7,,,,
393,"XNOR (R1)+,R2",2,4,,,,
394,"XNOR (R1)+,(R2)+",4,6,,,,
395,"XNOR (R1)+,-(R2)",4,6,,,,
396,"XNOR (R1)+,X(R2)",5,7,,,,
397,"XNOR (R1)+,@R2",4,6,,,,
398,"XNOR (R1)+,@(R2)+",5,7,,,,
399,"XNOR (R1)+,@-(R2)",5,7,,,,
400,"XNOR (R1)+,@X(R2)",6,8,,,,
401,"XNOR -(R1),R2",2,4,,,,
402,"XNOR -(R1),(R2)+",4,6,,,,
403,"XNOR -(R1),-(R2)",4,6,,,,
404,"XNOR -(R1),X(R2)",5,7,,,,
405,"XNOR -(R1),@R2",4,6,,,,
406,"XNOR -(R1),@(R2)+",5,7,,,,
407,"XNOR -(R1),@-(R2)",5,7,,,,
408,"XNOR -(R1),@X(R2)",6,8,,,,
409,"XNOR X(R1),R2",3,5,,,,
410,"XNOR X(R1),(R2)+",5,7,,,,
411,"XNOR X(R1),-(R2)",5,7,,,,
412,"XNOR X(R1),X(R2)",6,8,,,,
413,"XNOR X(R1),@R2",5,7,,,,
414,"XNOR X(R1),@(R2)+",6,8,,,,
415,"XNOR X(R1),@-(R2)",6,8,,,,
416,"XNOR X(R1),@X(R2)",7,9,,,,
417,"XNOR @R1,R2",2,4,,,,
418,"XNOR @R1,(R2)+",4,6,,,,
419,"XNOR @R1,-(R2)",4,6,,,,
420,"XNOR @R1,X(R2)",5,7,,,,
421,"XNOR @R1,@R2",4,6,,,,
422,"XNOR @R1,@(R2)+",5,7,,,,
423,"XNOR @R1,@-(R2)",5,7,,,,
424,"XNOR @R1,@X(R2)",6,8,,,,
425,"XNOR @(R1)+,R2",3,5,,,,
426,"XNOR @(R1)+,(R2)+",5,7,,,,
427,"XNOR @(R1)+,-(R2)",5,7,,,,
428,"XNOR @(R1)+,X(R2)",6,8,,,,
429,"XNOR @(R1)+,@R2",5,7,,,,
430,"XNOR @(R1)+,@(R2)+",6,8,,,,
431,"XNOR @(R1)+,@-(R2)",6,8,,,,
432,"XNOR @(R1)+,@X(R2)",7,9,,,,
433,"XNOR @-(R1),R2",3,5,,,,
434,"XNOR @-(R1),(R2)+",5,7,,,,
435,"XNOR @-(R1),-(R2)",5,7,,,,
436,"XNOR @-(R1),X(R2)",6,8,,,,
437,"XNOR @-(R1),@R2",5,7,,,,
438,"XNOR @-(R1),@(R2)+",6,8,,,,
439,"XNOR @-(R1),@-(R2)",6,8,,,,
440,"XNOR @-(R1),@X(R2)",7,9,,,,
441,"XNOR @X(R1),R2",4,6,,,,
442,"XNOR @X(R1),(R2)+",6,8,,,,
443,"XNOR @X(R1),-(R2)",6,8,,,,
444,"XNOR @X(R1),X(R2)",7,9,,,,
445,"XNOR @X(R1),@R2",6,8,,,,
446,"XNOR @X(R1),@(R2)+",7,9,,,,
447,"XNOR @X(R1),@-(R2)",7,9,,,,
448,"XNOR @X(R1),@X(R2)",8,10,,,,
449,"CMP R1,R2",1,3,,,,
450,"CMP R1,(R2)+",2,4,,,,
451,"CMP R1,-(R2)",2,4,,,,
452,"CMP R1,X(R2)",3,5,,,,
453,"CMP R1,@R2",2,4,,,,
454,"CMP R1,@(R2)+",3,5,,,,
455,"CMP R1,@-(R2)",3,5,,,,
456,"CMP R1,@X(R2)",4,6,,,,
457,"CMP (R1)+,R2",2,4,,,,
458,"CMP (R1)+,(R2)+",3,5,,,,
459,"CMP (R1)+,-(R2)",3,5,,,,
460,"CMP (R1)+,X(R2)",4,6,,,,
461,"CMP (R1)+,@R2",3,5,,,,
462,"CMP (R1)+,@(R2)+",4,6,,,,
463,"CMP (R1)+,@-(R2)",4,6,,,,
464,"CMP (R1)+,@X(R2)",5,7,,,,
465,"CMP -(R1),R2",2,4,,,,
466,"CMP -(R1),(R2)+",3,5,,,,
467,"CMP -(R1),-(R2)",3,5,,,,
468,"CMP -(R1),X(R2)",4,6,,,,
469,"CMP -(R1),@R2",3,5,,,,
470,"CMP -(R1),@(R2)+",4,6,,,,
471,"CMP -(R1),@-(R2)",4,6,,,,
472,"CMP -(R1),@X(R2)",5,7,,,,
473,"CMP X(R1),R2",3,5,,,,
474,"CMP X(R1),(R2)+",4,6,,,,
475,"CMP X(R1),-(R2)",4,6,,,,
476,"CMP X(R1),X(R2)",5,7,,,,
477,"CMP X(R1),@R2",4,6,,,,
478,"CMP X(R1),@(R2)+",5,7,,,,
479,"CMP X(R1),@-(R2)",5,7,,,,
480,"CMP X(R1),@X(R2)",6,8,,,,
481,"CMP @R1,R2",2,4,,,,
482,"CMP @R1,(R2)+",3,5,,,,
483,"CMP @R1,-(R2)",3,5,,,,
484,"CMP @R1,X(R2)",4,6,,,,
485,"CMP @R1,@R2",3,5,,,,
486,"CMP @R1,@(R2)+",4,6,,,,
487,"CMP @R1,@-(R2)",4,6,,,,
488,"CMP @R1,@X(R2)",5,7,,,,
489,"CMP @(R1)+,R2",3,5,,,,
490,"CMP @(R1)+,(R2)+",4,6,,,,
491,"CMP @(R1)+,-(R2)",4,6,,,,
492,"CMP @(R1)+,X(R2)",5,7,,,,
493,"CMP @(R1)+,@R2",4,6,,,,
494,"CMP @(R1)+,@(R2)+",5,7,,,,
495,"CMP @(R1)+,@-(R2)",5,7,,,,
496,"CMP @(R1)+,@X(R2)",6,8,,,,
497,"CMP @-(R1),R2",3,5,,,,
498,"CMP @-(R1),(R2)+",4,6,,,,
499,"CMP @-(R1),-(R2)",4,6,,,,
500,"CMP @-(R1),X(R2)",5,7,,,,
501,"CMP @-(R1),@R2",4,6,,,,
502,"CMP @-(R1),@(R2)+",5,7,,,,
503,"CMP @-(R1),@-(R2)",5,7,,,,
504,"CMP @-(R1),@X(R2)",6,8,,,,
505,"CMP @X(R1),R2",4,6,,,,
506,"CMP @X(R1),(R2)+",5,7,,,,
507,"CMP @X(R1),-(R2)",5,7,,,,
508,"CMP @X(R1),X(R2)",6,8,,,,
509,"CMP @X(R1),@R2",5,7,,,,
510,"CMP @X(R1),@(R2)+",6,8,,,,
511,"CMP @X(R1),@-(R2)",6,8,,,,
512,"CMP @X(R1),@X(R2)",7,9,,,,
513,INC R1,1,3,,,,
514,INC (R1)+,3,5,,,,
515,INC -(R1),3,5,,,,
516,INC X(R1),4,6,,,,
517,INC @R1,3,5,,,,
518,INC @(R1)+,4,6,,,,
519,INC @-(R1),4,6,,,,
520,INC @X(R1),5,7,,,,
521,DEC R1,1,3,,,,
522,DEC (R1)+,3,5,,,,
523,DEC -(R1),3,5,,,,
524,DEC X(R1),4,6,,,,
525,DEC @R1,3,5,,,,
526,DEC @(R1)+,4,6,,,,
527,DEC @-(R1),4,6,,,,
528,DEC @X(R1),5,7,,,,
529,INV R1,1,3,,,,
530,INV (R1)+,3,5,,,,
531,INV -(R1),3,5,,,,
532,INV X(R1),4,6,,,,
533,INV @R1,3,5,,,,
534,INV @(R1)+,4,6,,,,
535,INV @-(R1),4,6,,,,
536,INV @X(R1),5,7,,,,
537,LSR R1,1,3,,,,
538,LSR (R1)+,3,5,,,,
539,LSR -(R1),3,5,,,,
540,LSR X(R1),4,6,,,,
541,LSR @R1,3,5,,,,
542,LSR @(R1)+,4,6,,,,
543,LSR @-(R1),4,6,,,,
544,LSR @X(R1),5,7,,,,
545,ROR R1,1,3,,,,
546,ROR (R1)+,3,5,,,,
547,ROR -(R1),3,5,,,,
548,ROR X(R1),4,6,,,,
549,ROR @R1,3,5,,,,
550,ROR @(R1)+,4,6,,,,
551,ROR @-(R1),4,6,,,,
552,ROR @X(R1),5,7,,,,
553,RRC R1,1,3,,,,
554,RRC (R1)+,3,5,,,,
555,RRC -(R1),3,5,,,,
556,RRC X(R1),4,6,,,,
557,RRC @R1,3,5,,,,
558,RRC @(R1)+,4,6,,,,
559,RRC @-(R1),4,6,,,,
560,RRC @X(R1),5,7,,,,
561,ASR R1,1,3,,,,
562,ASR (R1)+,3,5,,,,
563,ASR -(R1),3,5,,,,
564,ASR X(R1),4,6,,,,
565,ASR @R1,3,5,,,,
566,ASR @(R1)+,4,6,,,,
567,ASR @-(R1),4,6,,,,
568,ASR @X(R1),5,7,,,,
569,LSL R1,1,3,,,,
570,LSL (R1)+,3,5,,,,
571,LSL -(R1),3,5,,,,
572,LSL X(R1),4,6,,,,
573,LSL @R1,3,5,,,,
574,LSL @(R1)+,4,6,,,,
575,LSL @-(R1),4,6,,,,
